# {"t_start": 1557863724.388421, "env_id": "Pointcircle-v0"} 
r,l,lr,violation,t
-44.149813,65,588.253615,56,41.368592
-43.006657,65,233.855834,41,41.410004
2.196748,65,34.409038,16,41.454513
-111.933783,65,136.686168,30,41.494692
-0.505703,65,2.578312,2,41.537985
2.578316,65,40.344557,24,41.579015
84.084934,65,322.522192,49,41.619127
4.823235,65,52.968639,25,41.659963
0.696742,65,16.138153,12,41.699769
33.126883,65,136.726025,19,41.739636
5.927977,65,6.759249,5,41.781067
-4.638499,65,148.569385,50,41.821345
2.627376,65,4.383015,3,41.864296
3.571924,65,146.185708,34,41.913481
-31.140867,65,83.431166,23,41.954319
-7.33381,65,105.719459,21,42.534134
2.585272,65,92.400107,43,42.578988
-0.74828,65,203.057465,45,42.619212
0.469353,65,22.613628,15,42.659893
-1.004912,65,95.008906,46,42.704445
-2.751339,65,24.675593,11,42.744894
0.405151,65,8.548769,8,42.785204
-0.163764,65,64.069318,29,42.825185
11.645368,65,285.414127,53,42.865228
-66.112749,65,516.850258,55,42.90583
